,All,Panel A,Panel B,UoA4,Panel C,Panel D
Promega,0.01,0.03,,,,
Scottish Parliament Information Centre,0.01,,,,0.02,
University of Reunion,0.01,,0.03,,,
Youth Music,0.01,,,,0.02,
Jacobs Foundation,0.01,,,,0.02,
Childrens Society,0.01,,,,0.02,
"The Harris Museum & Art Gallery, Preston",0.01,,,,,0.04
Institute for Outdoor Learning,0.01,,,,0.02,
CHA Invited Guest Fund,0.01,,,,0.02,
Tenovus Scotland,0.01,0.03,,,,
Scottish Executive Education Department,0.01,0.03,,0.14,,
National Institute for Mental Health in England,0.01,0.03,,,,
Sea Life Centres,0.01,,0.03,,,
PSP Architectural,0.01,,,,0.02,
PWS Distributors,0.01,,,,0.02,
The Colwinston Charitable Trust,0.01,,,,,0.04
Dream It Believe It,0.01,,,,0.02,
American Foundation for the Prevention of Suicide,0.01,,0.03,,,
Sheffield Museums,0.01,,,,,0.04
"University Partner Programme, Transport Systems Catapult Ltd.",0.01,,0.03,,,
Government of the Basque Country,0.01,,,,0.02,
Institut fur Auslandsbeziehungen,0.01,,,,0.02,
Quality Compliance Systems,0.01,,0.03,,,
Wellspring,0.01,,,,0.02,
National Lottery Heritage Found,0.01,,,,,0.04
Chartered Society of Physiotherapy Charitable Trust,0.01,0.03,,,,
Royal Docks Trusts,0.01,,,,,0.04
World Agroforestry Centre,0.01,,0.03,,,
Coalition for Epidemic Preparedness Innovations (CEPI),0.01,0.03,,,,
German Center for Infection Research,0.01,0.03,,,,
Brava and Telles Foundation,0.01,0.03,,,,
Lemann Foundation,0.01,0.03,,,,
Rede D'Or,0.01,0.03,,,,
South African Medical Research Council,0.01,0.03,,,,
Prison Reform Trust,0.01,,,,0.02,
Major Fellowship,0.01,,,,,0.04
Research Fellowship,0.01,,,,,0.04
Digital Research Infrastructure for the Arts and Humanities,0.01,,,,,0.04
Royal Academy of Engineering Commercialisation Fellowship,0.01,,0.03,,,
Mercers' Company,0.01,,,,0.02,
Global Action Fund for Fungal Infections,0.01,0.03,,,,
Gambling Commission,0.01,,,,0.02,
Department of Defense,0.01,0.03,,0.14,,
University of Toronto,0.01,0.03,,,,
National Research Foundation of Korea,0.01,,,,,0.04
Sigrid Rausing Trust,0.01,,,,0.02,
UN Office of the High Commissioner for Human Rights (OHCHR),0.01,,,,0.02,
South London and Maudsley NHS Trust,0.01,0.03,,,,
"Institute of Chartered Accountants of Scotland, Financial Reporting Council",0.01,,,,0.02,
National Organisation for the Treatment of Abusers,0.01,,,,0.02,
Art Fund,0.01,,,,,0.04
Fitzwilliam Museum,0.01,,,,,0.04
Classics For All,0.01,,,,,0.04
Open Knowledge Foundation,0.01,,,,,0.04
Medimmune,0.01,,,,0.02,
National Coordinating Centre for Public Engagement,0.01,,,,,0.04
South Western Fish Producer Organisation,0.01,,,,0.02,
SWIFA,0.01,,,,0.02,
Big Lottery,0.01,,,,0.02,
Ministry of Sport,0.01,,,,0.02,
Royal College of Paediatrics,0.01,0.03,,,,
Aquapak Polymers,0.01,,0.03,,,
U4 Anti-Corruption Resource Centre,0.01,,,,0.02,
Scottish Social Services Council,0.01,,,,0.02,
Federal Department for Foreign Affairs,0.01,,,,0.02,
Toledo International Centre for Peace,0.01,,,,0.02,
Council for Religious Institutions in the Holy Land,0.01,,,,0.02,
Toledo Institute for International Peace,0.01,,,,0.02,
School of Oriental and African Studies,0.01,,,,0.02,
International Development and Research Centre,0.01,,,,0.02,
Bill Sargent Trust,0.01,,,,0.02,
Innovations for Poverty Action,0.01,,,,0.02,
British Business Bank,0.01,,,,0.02,
North East Strategic Health Authority,0.01,,,,0.02,
"Office of Public Works, Ireland",0.01,,0.03,,,
New Expressions,0.01,,,,,0.04
Moorfields Eye Charity,0.01,0.03,,0.14,,
British Council for the Prevention of Blindness,0.01,0.03,,0.14,,
International Glaucoma Association,0.01,0.03,,0.14,,
British Association for American Studies,0.01,,,,,0.04
US Embassy,0.01,,,,,0.04
University of Helsinki,0.01,,,,,0.04
The Fondation des Treilles,0.01,,,,0.02,
Heinrich Böll Stiftung,0.01,,,,0.02,
Commonwealth Secretariat,0.01,,,,0.02,
Robeco,0.01,,,,0.02,
British Maternal Fetal Medicine Society,0.01,0.03,,,,
Gerda Henkel Foundation,0.01,,,,0.02,
Society for Libyan Studies,0.01,,,,0.02,
European Union Innovative Medicines Initiative (EU-IMI),0.01,0.03,,,,
European Respiratory Society (ERS),0.01,0.03,,,,
Chief Scientists Office (CSO),0.01,0.03,,,,
"MIGHT, Malaysia",0.01,,,,,0.04
Porticus Global,0.01,,,,0.02,
Private Enterprise Development in Low-Income Countries,0.01,,,,0.02,
NI Government,0.01,,,,0.02,
Research and Development Management Association,0.01,,,,0.02,
SLAM Trustees,0.01,0.03,,0.14,,
Institute of Social Psychiatry,0.01,0.03,,0.14,,
Brunel Pension Partnership,0.01,,,,0.02,
Aberdeen Standard Investments,0.01,,,,0.02,
BNP Paribas,0.01,,,,0.02,
Legal and General Investment Management,0.01,,,,0.02,
Bayer Healthcare,0.01,0.03,,,,
Novartis Pharma AG,0.01,0.03,,,,
National Cyber Security Centre,0.01,,0.03,,,
Hewlett Foundation,0.01,,,,0.02,
Centre for Child and Family Advocacy,0.01,,,,0.02,
CVQO,0.01,,,,0.02,
G4S,0.01,,,,0.02,
LEGO Foundation,0.01,,,,0.02,
Communication Trust,0.01,,,,,0.04
Douglas Trust,0.01,,,,0.02,
Jerusalem Trust,0.01,,,,0.02,
Hinchley Charitable Trust,0.01,,,,0.02,
Portsmouth Aviation,0.01,0.03,,,,
European Agency for Safety and Health at Work,0.01,0.03,,0.14,,
Foundation for the Study of Infant Deaths,0.01,0.03,,0.14,,
Renaissance North East,0.01,,,,,0.04
GAVI,0.01,0.03,,,,
MSD Animal Health,0.01,,0.03,,,
International Partnership for Microbicides,0.01,0.03,,,,
Wright Medical,0.01,,0.03,,,
Furlong Research Foundation,0.01,,0.03,,,
Department of State's Office to Monitor and Combat Trafficking in Persons,0.01,,,,0.02,
Headstart Kernow,0.01,,,,0.02,
South West Grid for Learning,0.01,,,,0.02,
Jerwood Foundation,0.01,,,,,0.04
Durham County Council,0.01,,,,0.02,
Nufffield Foundation,0.01,,,,0.02,
Forest Research,0.01,0.03,,,,
Natural Resources Wales,0.01,0.03,,,,
Dwr Cymru,0.01,0.03,,,,
Afonydd Cymru,0.01,0.03,,,,
Bennington College,0.01,,,,,0.04
Porticus Trust,0.01,,,,0.02,
Jerwood Charitable Foundation,0.01,,,,,0.04
National Museum Wales,0.01,,,,,0.04
Hockerill Educational Foundation,0.01,,,,0.02,
Axa,0.01,,,,0.02,
St Stephen’s Trust,0.01,0.03,,,,
Diana Princess of Wales Memorial Fund,0.01,0.03,,,,
Newlife,0.01,0.03,,,,
Integrated Education Fund,0.01,,,,0.02,
Stillbirth and Neonatal Death Charity,0.01,0.03,,,,
Lambeth Council,0.01,,,,0.02,
Adam Smith International,0.01,,,,0.02,
Foras na Gaeilge,0.01,,,,,0.04
East Cheshire Hospice,0.01,,,,0.02,
Oakhaven Hospice Trust,0.01,,,,0.02,
Northwest Lung Centre Charity,0.01,0.03,,,,
The Handel Institute,0.01,,,,,0.04
University of Oslo,0.01,,,,,0.04
"South West London Academic, Health and Social Care System",0.01,0.03,,,,
HSC Research and Development,0.01,0.03,,,,
"New South Wales Department of Education, Australia",0.01,,,,0.02,
New Economics Foundation,0.01,,,,0.02,
Language Training and Testing Centre (Taiwan),0.01,,,,,0.04
Sagnlandet Lejre,0.01,,,,0.02,
Commission for Countering Extremism,0.01,,,,,0.04
Interreg  Europe,0.01,,,,0.02,
Salford City Council,0.01,,,,0.02,
HLF,0.01,,,,,0.04
RCUK now UKRI,0.01,,,,,0.04
HEIFA,0.01,,,,,0.04
"EC, Director-Generate Justice",0.01,,,,0.02,
Population Council,0.01,,,,0.02,
Bodleian Library,0.01,,,,,0.04
OVE Arup & Partners,0.01,,,,0.02,
Loeb Classical Library Foundation,0.01,,,,,0.04
Institute for the Study of Aegean Prehistory,0.01,,,,,0.04
The Selby White-Leon Levy Foundation for Archaeological Publications,0.01,,,,,0.04
The Antonini-Georgiadis Fund,0.01,,,,,0.04
Institute for Occupational Safety and Health,0.01,,,,0.02,
The Energy Institute,0.01,,,,0.02,
Allan and Nesta Ferguson Charitable Trust,0.01,,,,0.02,
Barnardo's Cymru,0.01,,,,0.02,
Cancer Council Australia,0.01,0.03,,,,
Netherlands Organisation for Health Research and Development,0.01,0.03,,,,
National Social Security and Insurance Trust,0.01,,,,0.02,
Sheffield City Regional Local Enterprise Partnership,0.01,,,,0.02,
Autism Education Trust,0.01,,,,0.02,
World Innovation Summit for Education,0.01,,,,0.02,
National Council for Special Education,0.01,,,,0.02,
Building Research Establishment,0.01,,,,0.02,
High Speed 2,0.01,,,,0.02,
Association Francais contre les Myopathies,0.01,0.03,,,,
Muscular Dystrophy Campaign,0.01,0.03,,,,
Nottingham Trent University,0.01,,,,,0.04
Cranfield Defence Academy,0.01,,,,,0.04
ARR Craib,0.01,,0.03,,,
China National Offshore Oil Corporation,0.01,,0.03,,,
PlanSea Solutions,0.01,,0.03,,,
Assessments and Qualifications Alliance,0.01,,,,0.02,
Bancroft Educational trust,0.01,,,,,0.04
Pangaea Sculptors foundation,0.01,,,,,0.04
Trinity College London,0.01,,,,,0.04
European Agricultural Fund for Rural Development,0.01,,,,0.02,
Northern Ireland Rivers Agency,0.01,,0.03,,,
Swedish Trade Unions,0.01,0.03,,0.14,,
The Derek Williams Trust,0.01,,,,,0.04
Plater Trust,0.01,,,,,0.04
Rwanda Child Online Protection Project,0.01,,,,0.02,
Adult Online Harms,0.01,,,,0.02,
UK Safety Technology Sector Taxonomy Development,0.01,,,,0.02,
Royal Society of Edinburgh,0.01,,,,,0.04
Gladys Krieble Delmas Foundation,0.01,,,,,0.04
British Retinitis Pigmentosa Society,0.01,0.03,,,,
Kantar Public,0.01,,,,0.02,
Government Communications Planning Directorate,0.01,,0.03,,,
Educational Testing Service,0.01,,,,,0.04
The Hedley Foundation,0.01,0.03,,,,
European Orthodontic Society,0.01,0.03,,,,
Shirley Glasstone Hughes Award,0.01,0.03,,,,
Stripe,0.01,,,,,0.04
Corra Foundation,0.01,,,,0.02,
Danish Innovation Fund,0.01,,,,0.02,
French Agency for Research on AIDS and Viral Hepatitis,0.01,0.03,,,,
IFF Research,0.01,,,,0.02,
Eidos,0.01,0.03,,,,
Edexcel,0.01,,,,,0.04
The Atkinson,0.01,,,,,0.04
Leibniz Society,0.01,0.03,,,,
National Geographic,0.01,0.03,,,,
German Science Foundation,0.01,0.03,,,,
Prince Albert II of Monaco,0.01,0.03,,,,
Alnylam,0.01,0.03,,,,
Turkish Scientific and Technical Research Council,0.01,,,,0.02,
Bank of Muscat,0.01,,,,0.02,
Barakat Trust,0.01,,,,0.02,
SITA Trust,0.01,0.03,,,,
Ambit,0.01,,,,,0.04
Mirvish Barford Sculptures,0.01,,,,,0.04
Annely Juda Gallery,0.01,,,,,0.04
Metropolitan Police,0.01,,0.03,,,
Ministry of Public Safety and Security,0.01,,,,0.02,
Medicines for Malaria Venture Switzerland,0.01,0.03,,,,
Johns Hopkins University,0.01,0.03,,,,
Samantha Dickson Brain Tumour Trust,0.01,0.03,,,,
British Society Antimicrobial Chemotherapy,0.01,0.03,,,,
Cunningham Trust,0.01,0.03,,,,
South-West Water,0.01,,0.03,,,
British Deer Society,0.01,,,,,0.04
Three-Sixty Aquaculture,0.01,,0.03,,,
Oxford Partnership Comprehensive Biomedical Research Centre Public Health England,0.01,0.03,,0.14,,
Scion Neurostim,0.01,0.03,,0.14,,
Oxford Space Systems,0.01,,,,,0.04
Robert Bosch Foundation,0.01,,,,0.02,
Ecological Consultancy,0.01,0.03,,,,
Anthony Nolan Trust,0.01,0.03,,,,
Getty Conservation Institute,0.01,,,,0.02,
Automobile Association,0.01,,,,0.02,
NOVAC,0.01,,0.03,,,
Alfred P. Sloan Foundation,0.01,,0.03,,,
Deep Carbon Observatory,0.01,,0.03,,,
VSO International,0.01,0.03,,0.14,,
"Ministerial Advisory Group for the Ulster-Scots Academy, NI",0.01,,,,,0.04
The British Lung Foundation,0.01,0.03,,,,
Research Autism,0.01,0.03,,0.14,,
Hampshire and Isle of Wight Community Foundation,0.01,0.03,,0.14,,
Federal Bureau of Investigation,0.01,0.03,,0.14,,
Regional Development Agency,0.01,,0.03,,,
"Mars, Incorporated",0.01,0.03,,,,
Emergent BioSolutions,0.01,0.03,,,,
Ungulates Research Group,0.01,,,,,0.04
European and Developing Countries Clinical Trial Partnership,0.01,0.03,,,,
Science Applications International Corporation,0.01,0.03,,,,
Hubbub,0.01,,,,,0.04
Coventry and Warwickshire Local Enterprise Partnership,0.01,,,,0.02,
Robert Wood Johnson Foundation (US),0.01,0.03,,,,
Research Grants Council,0.01,,,,0.02,
ReCoMaP,0.01,0.03,,,,
Falkland Islands Government,0.01,0.03,,,,
ECR Community,0.01,,,,0.02,
National Fraud Strategic Authority,0.01,,,,0.02,
Credit Industry Fraud Avoidance System,0.01,,,,0.02,
Crowe Clark Whitehill,0.01,,,,0.02,
Synectics Solutions,0.01,,,,0.02,
International Triathlon Union,0.01,,,,0.02,
Federation Internationale de Natation,0.01,,,,0.02,
United States Coast Guard,0.01,,,,0.02,
Royal Air Force,0.01,,,,0.02,
Frame Foundation,0.01,,,,,0.04
The Knight Foundation,0.01,,,,,0.04
Guys and St Thomas’s Charitable Foundation,0.01,0.03,,0.14,,
United Nations Economic and Social Commission for Western Asia,0.01,,,,0.02,
European Observation Network for Territorial Development and Cohesion (ESPON),0.01,,,,0.02,
Dragon Capital Group,0.01,,,,0.02,
São Paulo Research Foundation,0.01,,0.03,,,
Global Integrity,0.01,,,,0.02,
Isle of Wight Council,0.01,,,,0.02,
Botiss Medical AG,0.01,,0.03,,,
Biotrics Bioimplants GmbH,0.01,,0.03,,,
European Union/WGOV,0.01,,0.03,,,
Western Indian Ocean Marine Science Association,0.01,0.03,,,,
McGill Institute for the Study of Canada,0.01,,,,,0.04
General Federation of Trade Unions,0.01,,,,,0.04
National University of Australia,0.01,,,,,0.04
University of Tubingen,0.01,,,,,0.04
Elders Council,0.01,0.03,,,,
Ocean Matters,0.01,,0.03,,,
Marine Harvest Scotland,0.01,,0.03,,,
DTI/WPL,0.01,,0.03,,,
Scottish Salmon Company,0.01,,0.03,,,
Thames Valley Primary Care Research Partnership Public Health England,0.01,0.03,,0.14,,
BUPA Foundation Public Health England,0.01,0.03,,0.14,,
Timber Research and Development Association,0.01,,0.03,,,
Royal Society,0.01,,,,0.02,
Natural Sciences and Engineering Research Council,0.01,,0.03,,,
and Department of Health,0.01,,0.03,,,
Socio-Legal Studies Association,0.01,,,,0.02,
Peratech Hold,0.01,,0.03,,,
Southoe Consultancy,0.01,0.03,,,,
The Shefa Fund,0.01,0.03,,,,
Medical Technology Associates II,0.01,0.03,,,,
Rail Safety Standards Board,0.01,,,,0.02,
Chiltern Railways,0.01,,,,0.02,
BP Chemicals,0.01,,,,0.02,
Edinburgh Knowledge Exchange,0.01,,,,0.02,
Physiological Society,0.01,,,,0.02,
InHealth Pain Management Group,0.01,,,,,0.04
Grow MedTech,0.01,,,,,0.04
Catherine Cookson Foundation,0.01,,,,,0.04
Nuffield Foundation,0.01,,,,0.02,
Luminate,0.01,,,,,0.04
Inver House Distillers,0.01,,,,,0.04
Qinetiq,0.01,,0.03,,,
Children's Literature Association of America,0.01,,,,,0.04
BMI Foundation,0.01,,,,,0.04
Mental Health Foundation,0.01,0.03,,,,
Institute of Tropical Medicine Antwerp,0.01,0.03,,,,
Vital Therapies,0.01,0.03,,,,
NHS Cancer Screening Programme,0.01,,,,,0.04
"Kidneys for Life, Hope Kidney Patient Association",0.01,,,,,0.04
Gad Rausings Stiftelse,0.01,,,,,0.04
Ministry of Heritage and Culture,0.01,,,,0.02,
Qatar National Library,0.01,,,,0.02,
The Royal Academy of Letters,0.01,,,,,0.04
"Helge Ax:son Johnsons Stiftelse, Sweden",0.01,,,,,0.04
Societas Archaeologica Upsaliensis,0.01,,,,,0.04
"Västerås, Sweden",0.01,,,,,0.04
"Magnus Bergwalls Stiftelse, Sweden",0.01,,,,,0.04
Consumer Council for Water,0.01,,,,0.02,
Alzheimer's Association,0.01,0.03,,,,
Classical Association,0.01,,,,,0.04
Department of Canadian Heritage,0.01,,,,,0.04
North East Museums Hub,0.01,,,,,0.04
"Imperial War Museum, London",0.01,,,,,0.04
Scottish Oral History Centre,0.01,,,,,0.04
Aberdeen Council Archaeological Services,0.01,,,,,0.04
Society of Antiquaries of Scotland,0.01,,,,,0.04
Al Ansari Exchange,0.01,0.03,,,,
Estonian Parliament,0.01,,,,0.02,
Cambridge Infectious Diseases Consortium,0.01,0.03,,,,
Artsadmin,0.01,,,,,0.04
Tubney Charitable Trust,0.01,0.03,,,,
"Department for Environment , Food and Rural Affairs",0.01,0.03,,,,
The Confederation of Healing Organisations,0.01,0.03,,0.14,,
The Bial Foundation,0.01,0.03,,0.14,,
The Salvia Foundation,0.01,0.03,,0.14,,
Velux Stiftung,0.01,0.03,,0.14,,
Strathclyde University,0.01,0.03,,0.14,,
University of Copenhagen,0.01,0.03,,0.14,,
Heriot-Watt University,0.01,0.03,,0.14,,
US Water Research Foundation,0.01,,,,0.02,
Heritage Lottery,0.01,,,,,0.04
Diageo Scotland,0.01,,,,,0.04
Brazilian Social Security Association for Industry,0.01,0.03,,0.14,,
Commonwealth Fund,0.01,0.03,,,,
World Tourism Organization,0.01,,,,0.02,
Derby City Council,0.01,0.03,,0.14,,
Social Tech Trust,0.01,,0.03,,,
British Pig Executive,0.01,0.03,,,,
Ericsson,0.01,,0.03,,,
Wildfire Television,0.01,,,,,0.04
National Strength and Conditioning Association,0.01,,,,0.02,
British Inter-University China Centre,0.01,,,,,0.04
Cockayne Foundation,0.01,,,,,0.04
Xuan Truong Construction Enterprise,0.01,,,,0.02,
Austrian Government,0.01,,0.03,,,
Zuhlke Engineering,0.01,,0.03,,,
Children's Society,0.01,,,,0.02,
Inquest,0.01,,,,0.02,
Barcelona City Council,0.01,,,,,0.04
Hagley Museum and Library,0.01,,,,,0.04
University of Texas,0.01,,,,,0.04
Tropical Health Education Trust,0.01,,,,0.02,
Colonial Williamsburg Foundation,0.01,,,,,0.04
Interxion,0.01,,0.03,,,
Pasold Research Fund,0.01,,,,,0.04
Virginia Historical Society,0.01,,,,,0.04
Institute of Southern Studies at the University of South Carolina,0.01,,,,,0.04
Leona M and Harry B Helmsley Charitable Trust,0.01,,0.03,,,
